Timestamp,What is your primary role within the organization? ,What is the approximate headcount of your organization? ,Which description best matches your current data architecture? ,What is your primary cloud strategy? ,How would you rate the difficulty of enforcing consistent security policies across your data estate?,"In a decentralized or self-service environment, what is your biggest governance challenge? ",How does your organization currently manage Cloud/Data Platform costs? ,"To what extent do ""orphaned resources"" (e.g., idle clusters, unreferenced storage) contribute to your cloud waste? ",Which factor most hinders your ability to move workloads between cloud providers? ,"Are you currently adopting ""Open Table Formats"" (e.g., Apache Iceberg, Delta Lake) specifically to avoid vendor lock-in? ","If you are currently adopting or evaluating Open Table Formats, which format(s) are you primarily targeting?","Are you evaluating or participating in Data Spaces (e.g., IDSA, Gaia-X) for secure, sovereign data sharing between organizations? ","If you are evaluating or participating in Data Spaces, which initiative(s) are involved?","How do you assess the potential of ""AI-Native"" Data Warehouses (which integrate Generative AI for query optimization and natural language interfaces) in your future roadmap?","Which of the following ""missing tools"" would provide the highest value to your organization today? ","If a functional prototype was developed to address the challenge selected above, would you be interested in seeing a case study on it? ",(Optional) Is there any other critical friction point in your Cloud Data Platform that was not mentioned above? 
1/22/2026 9:37:52,Chairman of the Board,"100,000+","Data Lake: Centralized storage of raw data (Schema-on-Read), separate from compute",Hybrid Cloud (On-premise + Cloud),3,"We utilize a centralized model, so this does not apply","Proactive: We use quotas and budget alerts, but optimization is manual",3,Data Gravity (the volume of data is too massive to move),We are currently evaluating them,,,,,Cross-Cloud Abstraction Layer: A unified interface to query data residing in different clouds without manual movement,Yes,
2/5/2026 14:36:03,Head of Global Data Science,"Less than 5,000","Data Lake: Centralized storage of raw data (Schema-on-Read), separate from compute",Hybrid Cloud (On-premise + Cloud),4,Ensuring regulatory compliance (GDPR/HIPAA) across independent teams,"Reactive: We analyze bills at the end of the month and investigate spikes (""Bill Shock"")",4,Data Gravity (the volume of data is too massive to move),Yes,Delta Lake,We are currently evaluating,Gaia-X,Transformational (High Priority),Proactive Cost Anomaly Prevention: A tool that simulates query costs before execution rather than reporting them after,Yes,
2/5/2026 15:42:46,CTO / CIO / CDO / CEO,"Less than 5,000",Data Mesh: Decentralized architecture with domain-oriented data ownership and federated governance,Multi-Cloud (Strategic use of multiple providers),3,Lack of visibility into who is accessing what data,"Proactive: We use quotas and budget alerts, but optimization is manual",2,We are happy with a single vendor and do not wish to move,No,,"No, not interested / not applicable",,Transformational (High Priority),Proactive Cost Anomaly Prevention: A tool that simulates query costs before execution rather than reporting them after,No,
2/5/2026 15:55:45,CTO / CIO / CDO / CEO,"Less than 5,000","Data Lake: Centralized storage of raw data (Schema-on-Read), separate from compute",Multi-Cloud (Strategic use of multiple providers),4,Ensuring regulatory compliance (GDPR/HIPAA) across independent teams,"Proactive: We use quotas and budget alerts, but optimization is manual",3,We are happy with a single vendor and do not wish to move,No,,We are currently evaluating,"IDSA, Gaia-X, Catena-X",Transformational (High Priority),Data Product Marketplace: A user-friendly interface for discovering and requesting access to domain data,Yes,
2/5/2026 16:12:48,VP of Engineering / Infrastructure,"5,000 - 9,999","Data Lake: Centralized storage of raw data (Schema-on-Read), separate from compute","Single Cloud (100% on AWS, Azure, or Google Cloud)",3,"We utilize a centralized model, so this does not apply",FinOps: Engineering teams are responsible for the unit cost of their workloads,1,We are happy with a single vendor and do not wish to move,No,,"No, not interested / not applicable",,Transformational (High Priority),Proactive Cost Anomaly Prevention: A tool that simulates query costs before execution rather than reporting them after,Maybe, A tool that simulates query costs before execution exists. Infracost is an example
2/5/2026 17:08:12,CTO / CIO / CDO / CEO,"Less than 5,000","Data Lake: Centralized storage of raw data (Schema-on-Read), separate from compute","Single Cloud (100% on AWS, Azure, or Google Cloud)",3,"We utilize a centralized model, so this does not apply","Proactive: We use quotas and budget alerts, but optimization is manual",1,We are happy with a single vendor and do not wish to move,No,,"No, but we are monitoring the topic",,Interesting but premature,Proactive Cost Anomaly Prevention: A tool that simulates query costs before execution rather than reporting them after,Yes,"Automatic Policy Propagation, and tools for compliance monitoring in use of AI tools is interesting to us"
2/9/2026 14:08:34,CTO / CIO / CDO / CEO,"Less than 5,000","Data Lake: Centralized storage of raw data (Schema-on-Read), separate from compute",Multi-Cloud (Strategic use of multiple providers),2,Inconsistent access control (IAM) across different domains,"Reactive: We analyze bills at the end of the month and investigate spikes (""Bill Shock"")",2,We are happy with a single vendor and do not wish to move,No,,"No, not interested / not applicable",,Interesting but premature,Automated Policy Propagation: A tool that automatically translates high-level governance rules into technical policies across distributed data products,Maybe,
3/3/2026 10:14:33,VP of Engineering / Infrastructure,"50,000 – 99,999",Lakehouse: Unified architecture supporting ACID transactions and combined BI/ML workloads,Hybrid Cloud (On-premise + Cloud),4,Ensuring regulatory compliance (GDPR/HIPAA) across independent teams,"Proactive: We use quotas and budget alerts, but optimization is manual",5,Data Gravity (the volume of data is too massive to move),We are currently evaluating them,,"No, but we are monitoring the topic",,Interesting but premature,Idle Resource Auto-Termination: A script that identifies and decommissions underutilized resources automatically,Maybe,
3/3/2026 16:47:21,Lead Data Architect / Principal Engineer,"50,000 – 99,999",Lakehouse: Unified architecture supporting ACID transactions and combined BI/ML workloads,Multi-Cloud (Strategic use of multiple providers),5,Inconsistent access control (IAM) across different domains,FinOps: Engineering teams are responsible for the unit cost of their workloads,5,Data Gravity (the volume of data is too massive to move),Yes,Apache Iceberg,We are currently evaluating,Gaia-X,Transformational (High Priority),Idle Resource Auto-Termination: A script that identifies and decommissions underutilized resources automatically,Maybe,
3/4/2026 9:22:07,CTO / CIO / CDO / CEO,"10,000 – 49,999","Data Lake: Centralized storage of raw data (Schema-on-Read), separate from compute",Hybrid Cloud (On-premise + Cloud),3,Ensuring regulatory compliance (GDPR/HIPAA) across independent teams,"Proactive: We use quotas and budget alerts, but optimization is manual",5,Proprietary formats (reliance on specific engines like Redshift/BigQuery),We are currently evaluating them,"Apache Iceberg, Delta Lake","No, but we are monitoring the topic",,Transformational (High Priority),Idle Resource Auto-Termination: A script that identifies and decommissions underutilized resources automatically,Yes,
